question,answer,tags,card_type,options,correct_option_idx,typed_compare_mode
trüb (adj),"trüb bedeutet, dass etwas nicht klar ist, wie bei verschmutztem Wasser, oder dass jemand traurig und ernst aussieht.
turbid or murky, often used to describe cloudy water or a sad, serious look in someone's eyes.","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
blauschwarz (adj),"Eine sehr dunkle Farbe, die zwischen Blau und Schwarz liegt.
A very dark color that lies between blue and black.","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
gerberplatz,"Ein Platz, auf dem früher Häute für Leder verarbeitet wurden.
A place where hides were processed into leather in the past.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
hauptnachdruck,"Das Wort 'Hauptnachdruck' bedeutet, dass etwas besonders wichtig ist und man sich darauf am meisten konzentrieren muss.
The term 'Hauptnachdruck' means that something is especially important and one must focus on it most.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
empfinden (v),"etwas fühlen oder spüren, zum Beispiel Gefühle oder körperliche Empfindungen
to feel or perceive something, such as emotions or physical sensations","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
ausmachen (v),"etwas machen, das es nicht mehr gibt; hier: den siebenten Teil des Lebens einnehmen oder ausfüllen
to turn off (a device) or to constitute/make up (a part of something); in this context: to constitute or make up","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
vergeistigung,"Der Prozess, bei dem jemand oder etwas geistig wird, also weniger menschlich oder körperlich wirkt und mehr wie ein Geist oder eine Idee.
The process of becoming spiritual or intellectual, losing human or physical warmth.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
dächerflucht,"Die Dächerflucht ist die Linie, die man sieht, wenn man von oben auf viele Hausdächer schaut; sie zeigt, wie die Dächer ineinander übergehen und die Stadt begrenzen.
The roofscape is the line visible when looking down from above at many roofs; it shows how roofs overlap and outline the city.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
weidenbestanden (adj),"Das Wort bedeutet, dass die Ufer des Flusses mit Weidenbäumen bewachsen sind.
The word means that the river banks are covered with willow trees.","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
satzverknüpfung,"Es bedeutet, wie man Sätze miteinander verbindet, zum Beispiel mit 'und', 'aber' oder 'weil'.
It means how to connect sentences, for example using 'and', 'but', or 'because'.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
aussprache,"Wie man ein Wort lautlich richtig sagt (die Betonung und die Laute).
The way a word is pronounced (including stress and sounds).","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
mußestunde,"Eine Mußestunde ist eine Zeit, in der man nichts tun muss und frei ist, zum Beispiel am Sonntag oder nach der Schule.
A free hour or spare time when one does not have to work or study, such as on Sundays or after school.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
plätscherten (v),"Das Verb 'plätschern' beschreibt das Geräusch, das Wasser macht, wenn es auf einen harten Boden fällt oder in kleinen Mengen fließt (z. B. in Brunnen).
The verb 'plätschern' describes the sound water makes when it falls onto a hard surface or flows in small amounts (e.g., in fountains).","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
badwiese,"Eine Wiese am Wasser, die man zum Baden oder Ausruhen nutzen kann.
A meadow by the water that can be used for swimming or relaxing.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
mannigfaltigkeit,"Mannigfaltigkeit bedeutet, dass etwas sehr viele verschiedene Arten, Formen oder Möglichkeiten hat.
Mannigfaltigkeit means that something has many different kinds, forms, or possibilities.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
rufen (v),"etwas laut sagen, damit andere es hören
to call out or shout something so others can hear","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
etwaig (adj),"Das Wort 'etwaig' ist ein Tippfehler und sollte 'etwa' heißen. 'Etwa' bedeutet ungefähr oder vielleicht.
The word 'etwaig' is a typo and should be 'etwa'. 'Etwa' means approximately or perhaps.","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
kirchberglinde,"Eine große alte Linde, die auf oder direkt neben einem Kirchberg (einem Hügel bei einer Kirche) steht.
A large old lime tree standing on or directly next to a church hill.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
mühle,"Eine Mühle ist ein Gebäude, in dem man früher Korn oder andere Dinge mit Hilfe von Wasserkraft oder Windmühlenmühle mahlte.
A mill is a building where grain or other things were ground using water power or a windmill in the past.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
zeitwörter,"Zeitwörter sind ein alter Name für Verben, also Wörter, die eine Handlung oder einen Zustand beschreiben (z. B. 'gehen', 'sein', 'denken').
Zeitwörter is an old German term for verbs, which are words that describe an action or a state (e.g., 'to go', 'to be', 'to think').","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
viel,"viel bedeutet eine große Menge oder eine hohe Anzahl von etwas.
viel means a large amount or a high number of something.","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
stolze,"Stolz ist ein gutes Gefühl, wenn man etwas gut gemacht hat oder etwas Besonderes ist. 'Stolze' bedeutet hier, dass der Vater sich sehr stolz auf das Lernen seines Sohnes fühlte.
Proud is a good feeling when you have done something well or are something special. 'Stolze' here means that the father felt very proud of his son's studying.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
ratschläge,"Ratschläge sind Vorschläge oder Hinweise, die andere Menschen geben, um dir zu helfen oder dir beizubringen, wie du etwas besser machen kannst.
Advice or suggestions given by others to help you or teach you how to do something better.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
stellfalle,"Eine Stellfalle ist ein kleines, flaches Becken oder eine Mulde im Wasser, in der sich Wasser sammelt, oft an einer Stufe oder einem Uferabschnitt.
A small, shallow pool or depression in the water where water collects, often at a step or along a bank.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
unterweisung,"Eine Unterweisung ist eine spezielle Lehrstunde oder Anleitung, bei der jemand etwas sehr genau und praktisch erklärt, oft mit Übungen.
A special lesson or instruction where someone explains something in detail and practically, often with exercises.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
dekan,"Ein Dekan ist der Leiter einer Fakultät an einer Universität oder der Vorsteher einer Kirchengemeinde.
A dean is the head of a faculty at a university or the head of a church congregation.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
wohlgefällig (adj),"etwas, das jemandem gefällt oder das er mit Freude betrachtet
something that pleases someone or is viewed with joy","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
brückenkapelle,"Eine kleine Kapelle, die direkt auf einer Brücke gebaut ist.
A small chapel built directly on a bridge.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
entsenden (v),"etwas oder jemanden zu einem bestimmten Zweck an einen anderen Ort schicken oder abfertigen
to send someone or something to a specific place for a specific purpose","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
fortwährend,"Das Wort 'fortwährend' bedeutet, dass etwas immer wieder passiert oder ohne Unterlass andauert.
The word 'fortwährend' means that something happens again and again or continues without interruption.","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
ölverbrauch,"Die Menge an Öl, die für eine Lampe oder ein Feuer verbraucht wird.
The amount of oil used for a lamp or fire.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
bummeln (v),"etwas ohne festen Plan oder Ziel machen, sich entspannt durch die Gegend bewegen
to hang out or wander around without a specific plan or goal","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
wettbewerb,"Ein Wettbewerb ist ein Vergleich oder ein Kampf zwischen mehreren Personen oder Gruppen, um zu sehen, wer die beste Leistung erbringt oder einen Preis gewinnt.
A competition or contest between several people or groups to see who performs best or wins a prize.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
abstumpfen (v),"etwas nicht mehr so empfindlich machen, dass man Schmerz oder schlechtes Gewissen nicht mehr richtig spürt
to become less sensitive, so that one no longer feels pain or guilt properly","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
grollen (v),"Grollen bedeutet, wenn jemand wütend ist und tief im Inneren vor sich hin brummt oder zornig auf jemanden herabblickt, oft ohne etwas zu sagen.
To grumble or brood in anger; to feel resentment silently.","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
messerschmiede,"Ein Ort, an dem alte Messer geschmiedet und repariert wurden.
A place where old knives were forged and repaired.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
weltlich (adj),"weltlich — ein Wort aus dem literarischen Kontext.
(no English gloss for weltlich)","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
klassenlehrer,"Ein Klassenlehrer ist eine Person, die in der Schule für eine ganze Klasse verantwortlich ist und sowohl unterrichtet als auch die Schüler betreut.
A class teacher is a person responsible for an entire class in school, teaching and caring for the students.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
marktgas,"Marktgas ist kein echtes deutsches Wort. Es ist ein Tippfehler oder ein Missverständnis. Im Text steht eigentlich 'Marktplatz', was der Platz am Markt ist, wo Menschen einkaufen oder sich treffen.
Marktgas is not a real German word. It is a typo or a misunderstanding. In the text, it should be 'Marktplatz', which is the square where people shop or meet.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
zettel,"Ein kleines Stück Papier mit daraufgeschriebenen Notizen oder Aufgaben.
A small piece of paper with notes or tasks written on it.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
umhegt (adj),"etwas umhegen bedeutet, dass es ruhig und sicher ist, weil es von einem Zaun oder einer Mauer umgeben ist.
to enclose or surround something with a fence or wall to keep it safe and quiet.","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
rathaus,"Ein Rathaus ist ein großes Gebäude, in dem die Stadtverwaltung sitzt und wo die Bürgermeister arbeiten.
A town hall is a large building where the city administration sits and where the mayors work.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
beschrieben (adj),"etwas mit Worten oder Texten erklärt oder dargestellt
described or explained with words or text","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
segensreich,"segensreich bedeutet, dass etwas sehr viel Glück, Erfolg oder positive Kraft bringt.
blessed or full of blessings; bringing great success or good fortune.","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
heimlicherweise,"Das Wort 'heimlicherweise' bedeutet 'heimlich' oder 'geheim'. Es beschreibt eine Handlung, die jemand im Geheimen macht, damit andere es nicht sehen oder wissen.
The word 'heimlicherweise' means 'secretly' or 'in secret'. It describes an action done in private so that others do not see or know about it.","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
häuslich (adj),"häuslich — ein Wort aus dem literarischen Kontext.
(no English gloss for häuslich)","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
segen,"Segen ist ein gutes Geschenk oder eine positive Kraft, die jemand bekommt, zum Beispiel durch Gebet oder gute Taten.
Blessing is a good gift or a positive power that someone receives, for example through prayer or good deeds.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
erledigen (v),"etwas fertig machen oder beenden, sodass es erledigt ist.
to finish or complete something so that it is done.","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
erquickend (adj),"etwas, das Kraft gibt, erheitert und die Seele wieder zum Leben erweckt
something that gives strength, refreshes, and brings the soul back to life","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
traulich (adj),"Beschreibt eine gemütliche, warme und friedliche Atmosphäre, oft verbunden mit Licht und Zuhause.
Describes a cozy, warm, and peaceful atmosphere, often associated with light and home.","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
verkümmeren (v),"etwas verkümmern bedeutet, dass es nicht mehr richtig wächst oder sich entwickelt und dadurch schwach oder unvollständig wird.
to wither or fail to develop properly, becoming weak or stunted.","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
ansammelten (v),"ansammeln bedeutet, dass sich viele Dinge oder Aufgaben Stück für Stück zusammenlegen und immer mehr werden.
to accumulate means that many things or tasks pile up one by one and become more numerous.","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
erfrischend (adj),"etwas, das wieder Kraft gibt, wie frische Luft oder ein kaltes Getränk; es macht wach und gut gelaunt.
something that restores energy, like fresh air or a cold drink; it makes you feel alert and cheerful.","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
tagsüber,"tagsüber bedeutet 'während des Tages', also von morgens bis abends, wenn das Licht da ist.
during the day, from morning until evening when there is light.","de,hesse_unterm_rad,Moderne,ADV",basic,"",0,ci
aufsag,"Aufsagen bedeutet, etwas laut vorzulesen oder auswendig zu rezitieren, zum Beispiel Fragen und Antworten beim Lernen.
To read something aloud or to recite something from memory, for example questions and answers while learning.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
auswendiglernen,"etwas so oft wiederholen, bis man es ohne Nachschauen im Kopf behalten kann
to repeat something so often that you can remember it without looking at notes","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
auswendiglern,"Auswendiglernen bedeutet, sich etwas (wie Texte oder Fragen) so gut zu merken, dass man es ohne Nachschlagen aus dem Kopf sagen kann.
To memorize something so well that you can say it from memory without looking at notes.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
wirkung,"Ein Einfluss, den etwas auf jemanden oder etwas anderes hat (z. B. eine gute oder schlechte Wirkung).
An influence or effect that something has on a person or something else (e.g., a positive or negative effect).","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
anregend (adj),"etwas, das die Gedanken oder das Lernen macht, dass man sich besser konzentrieren und motiviert fühlt
something that stimulates the mind or makes you feel motivated to learn","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
gelegentlich (adj),"Manchmal, von Zeit zu Zeit, nicht immer.
Sometimes, from time to time, not always.","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
brenzisch (adj),"Brenzisch bedeutet, dass etwas aus der Region Brenz (in Baden-Württemberg) kommt oder dort üblich ist.
Brenzisch means something comes from the region of Brenz (in Baden-Württemberg) or is customary there.","de,hesse_unterm_rad,Moderne,ADJ",basic,"",0,ci
konfirmandenunterricht,"Der Konfirmandenunterricht ist eine religiöse Schulstunde für Jugendliche, die bald getauft werden sollen, in der sie den Katechismus lernen.
Confirmation class is a religious lesson for teenagers who are about to be baptized, where they learn the catechism.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
verdorre (v),"etwas ist verdorrt, wenn es sehr trocken und welk ist, meist durch mangelnde Feuchtigkeit oder Hitze.
something is withered or dried out, usually due to lack of moisture or heat.","de,hesse_unterm_rad,Moderne,VERB",basic,"",0,ci
verstandesübung,"Eine geistige Tätigkeit oder Übung, bei der der Verstand trainiert wird, zum Beispiel durch Lernen oder Nachdenken.
A mental exercise or activity that trains the mind, such as learning or thinking.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
überlastung,"Wenn man zu viel Arbeit, Stress oder Gedanken hat und sich dadurch nicht mehr gut fühlen kann.
When one has too much work, stress, or thoughts and cannot feel well anymore.","de,hesse_unterm_rad,Moderne,NOUN",basic,"",0,ci
